code_insee, nom_commune, base_nette_commune, taux_commune, produit_commune, base_nette_syndicat, taux_syndicat, produit_syndicat, base_nette_interco, taux_interco, produit_interco, base_nette_tse, taux_tse, produit_tse
55543,"VELAINES ","- ","       .  ","- ","- ","    .     ","- ",911916,"23,14",211014,911916,"1,26",11486
55544,"VELOSNES ","N.C. ","12,68","N.C. ","- ","    .     ","- ","N.C. ","10,55","N.C. ","N.C. ","1,26","N.C. "
55545,"VERDUN ","- ","       .  ","- ","- ","    .     ","- ",7817380,"23,75",1856518,7817380,"1,26",98462
55546,"VERNEUIL GRAND ","- ","       .  ","- ","- ","    .     ","- ","- ","       .  ","- ","- ","      .   ","- "
55547,"VERNEUIL PETIT ","N.C. ","10,25","N.C. ","- ","    .     ","- ","N.C. ","10,55","N.C. ","N.C. ","1,26","N.C. "
55549,"VERY ","N.C. ","8,14","N.C. ","- ","    .     ","- ","N.C. ","9,93","N.C. ","N.C. ","1,26","N.C. "
55551,"VIGNEULLES HATTONCHATEL ","N.C. ","10,12","N.C. ","- ","    .     ","- ","N.C. ","26,41","N.C. ",668452,"1,26",8398
55551,"VIGNEULLES HATTONCHATEL                            dans la ZAE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","16,43","N.C. ","N.C. ","1,26","N.C. "
55552,"VIGNEUL SOUS MONTMEDY ",1951,"13,93",271,"- ","    .     ","- ",1951,"10,55",205,1951,"1,26",24
55553,"VIGNOT ",72527,"15,08",10936,"- ","    .     ","- ",75001,"6,1",4577,72527,"1,26",912
55554,"VILLECLOYE ",2124,"12,92",273,"- ","    .     ","- ",2124,"10,55",223,2124,"1,26",25
55555,"VILLE DEVANT BELRAIN ",2269,"10,75",244,"- ","    .     ","- ",2269,"11,06",252,2269,"1,26",28
55556,"VILLE DEVANT CHAUMONT ",0,"10,33",0,"- ","    .     ","- ",0,"9,39",0,0,"1,26",0
55557,"VILLE EN WOEVRE ","N.C. ","5,88","N.C. ","- ","    .     ","- ","N.C. ","13,5","N.C. ","N.C. ","1,26","N.C. "
55559,"VILLEROY SUR MEHOLLE ",4439,"29,58",1313,"- ","    .     ","- ",4439,"2,82",126,4439,"1,26",55
55560,"VILLERS AUX VENTS ","- ","       .  ","- ","- ","    .     ","- ",2991,"19,94",598,2991,"1,26",36
55561,"VILLERS DEVANT DUN ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","20,75","N.C. ","N.C. ","1,26","N.C. "
55562,"VILLERS LE SEC ",10044,"10,92",1096,"- ","    .     ","- ",10044,"8,55",857,10044,"1,26",127
55563,"VILLERS LES MANGIENNES ",0,"7,26",0,"- ","    .     ","- ",0,"11,5",0,0,"1,26",0
55565,"VILLERS SOUS PAREID ",0,"5,21",0,"- ","    .     ","- ",0,"13,5",0,0,"1,26",0
55566,"VILLERS SUR MEUSE ","N.C. ","8,34","N.C. ","- ","    .     ","- ","N.C. ","29,91","N.C. ",8934,"1,26",112
55566,"VILLERS SUR MEUSE                                  dans la ZAE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","18,98","N.C. ","N.C. ","1,26","N.C. "
55567,"VILLE SUR COUSANCES ","N.C. ","8,49","N.C. ","- ","    .     ","- ","N.C. ","10,93","N.C. ","N.C. ","1,26","N.C. "
55568,"VILLE SUR SAULX ",27356,"13,52",3698,"- ","    .     ","- ",27356,"4,51",1237,27356,"1,26",346
55569,"VILLOTTE DEVANT LOUPPY ",6150,"11,74",724,"- ","    .     ","- ",6150,"7,6",468,6150,"1,26",76
55570,"VILLOTTE SUR AIRE ",15583,"13,96",2172,"- ","    .     ","- ",15583,"11,06",1723,15583,"1,26",195
55571,"VILOSNES HARAUMONT ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","20,75","N.C. ","N.C. ","1,26","N.C. "
55572,"VITTARVILLE ","N.C. ","4,9","N.C. ","- ","    .     ","- ","N.C. ","9,39","N.C. ","N.C. ","1,26","N.C. "
55573,"VOID VACON ",257490,"18,76",48328,"- ","    .     ","- ",257490,"2,82",7241,257490,"1,26",3232
55574,"VOUTHON BAS ",1772,"9,08",161,"- ","    .     ","- ",1772,"9,12",161,1772,"1,26",22
55575,"VOUTHON HAUT ",70170,"13,59",9536,"- ","    .     ","- ",70170,"9,12",6400,70170,"1,26",884
55577,"WALY ",9359,"8,63",808,"- ","    .     ","- ",9359,"7,6",711,9359,"1,26",118
55578,"WARCQ ",33586,"7,41",2487,"- ","    .     ","- ",33586,"12,26",4117,33586,"1,26",422
55579,"WATRONVILLE ","N.C. ","8,2","N.C. ","- ","    .     ","- ","N.C. ","13,5","N.C. ","N.C. ","1,26","N.C. "
55580,"WAVRILLE ","N.C. ",6,"N.C. ","- ","    .     ","- ","N.C. ","9,39","N.C. ","N.C. ","1,26","N.C. "
55581,"WILLERONCOURT ","N.C. ","18,22","N.C. ","- ","    .     ","- ","N.C. ","2,82","N.C. ","N.C. ","1,26","N.C. "
55582,"WISEPPE ","N.C. ","7,65","N.C. ","- ","    .     ","- ","N.C. ","7,81","N.C. ","N.C. ","1,26","N.C. "
55583,"WOEL ",10975,"7,88",866,"- ","    .     ","- ",10975,"13,5",1481,10975,"1,26",137
55584,"WOIMBEY ",4273,"12,83",549,"- ","    .     ","- ",4273,"11,06",472,4273,"1,26",53
55586,"XIVRAY ET MARVOISIN ",4333,"9,15",397,"- ","    .     ","- ",4333,"9,98",431,4333,"1,26",53
56001,"ALLAIRE ","- ","       .  ","- ","- ","    .     ","- ",1065900,"25,76",274578,1065900,"0,773",8247
56002,"AMBON ","- ","       .  ","- ","- ","    .     ","- ",780750,"21,51",167951,780750,"0,773",6042
56003,"ARRADON ","- ","       .  ","- ","- ","    .     ","- ",1089822,"24,01",261636,1089822,"0,773",8421
56004,"ARZAL ","- ","       .  ","- ","- ","    .     ","- ",835002,"21,51",179626,835002,"0,773",6463
56005,"ARZON ","- ","       .  ","- ","- ","    .     ","- ",2262527,"21,88",494994,2262527,"0,773",17532
56006,"AUGAN ","- ","       .  ","- ","- ","    .     ","- ",78509,"25,76",20223,78509,"0,773",610
56007,"AURAY ","- ","       .  ","- ","- ","    .     ","- ",4374097,"21,39",935651,4374097,"0,773",33823
56008,"BADEN ","- ","       .  ","- ","- ","    .     ","- ",683499,"24,01",164088,683499,"0,773",5274
56009,"BANGOR ",247934,"9,36",23196,"- ","    .     ","- ",251532,"11,11",27940,247934,"0,773",1907
